index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
46,2014,Feedforward Active Noise Control With a New Variable Tap-Length and Step-Size Filtered-X LMS Algorithm,Dah‐Chung Chang; Fei-Tao Chu,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2013.2297016,54,https://openalex.org/W2060803026,,,15.04
47,2014,GPU Implementation of Multichannel Adaptive Algorithms for Local Active Noise Control,Jorge Lorente; Miguel Ferrer; María de Diego; Alberto González,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2014.2344852,51,https://openalex.org/W2039430460,,,16.51
48,2014,Loudspeaker nonlinearity compensation with inverse tangent hyperbolic function-based predistorter for active noise control,Mouayad A. Sahib; Raja Kamil,Transactions of the Institute of Measurement and Control,10.1177/0142331214527602,8,https://openalex.org/W2076753422,,,15.58
49,2014,NONLINEAR NARROWBAND ACTIVE NOISE CONTROL USING VOLTERRA FILTER,Jian Liu; Qi Jing; Yegui Xiao,,,1,https://openalex.org/W2181576697,,,18.51
50,2015,A novel ANC system using nonlinear error LMS algorithm,Gaurav Singh; Ganapati Panda,,10.1109/pcitc.2015.7438224,1,https://openalex.org/W2556388208,,,18.51
51,2015,Adaptive Volterra filter with continuous lp-norm using a logarithmic cost for nonlinear active noise control,Lu Lu; Haiquan Zhao,Journal of Sound and Vibration,10.1016/j.jsv.2015.11.029,66,https://openalex.org/W2185170263,,,16.66
52,2015,An advanced feedback Filtered-x least mean square algorithm for wideband noise removal,Shibalik Mohapatra; Asutosh Kar,,10.1109/ecticon.2015.7207100,4,https://openalex.org/W1592777605,,,17.04
53,2015,Multichannel active control of nonlinear noise processes using diagonal structure bilinear FXLMS algorithm,Dong Chen; Ding Yuan; Li Tan; Sidan Du,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",10.1117/12.2228585,2,https://openalex.org/W2257990495,,,18.52
54,2015,Nonlinear Thf‐Fxlms Algorithm For Active Noise Control With Loudspeaker Nonlinearity,Sepehr Ghasemi; Raja Kamil; Mohammad Hamiruce Marhaban,Asian Journal of Control,10.1002/asjc.1140,28,https://openalex.org/W1936928165,,,17.28
55,2016,Adaptive even mirror Fourier filtered error LMS algorithm for multichannel nonlinear active noise control,Xinnian Guo; Chen Dong; Li Tan; Sidan Du,,10.1109/iemcon.2016.7746248,4,https://openalex.org/W2559609459,,,20.04
56,2016,Adaptive variable step-size neural controller for nonlinear feedback active noise control systems,Nguyen Le Thai; Xing Wu; Jing Na; Yu Guo; Nguyen Thi Trung Tin; Phan Xuan Le,Applied Acoustics,10.1016/j.apacoust.2016.09.022,23,https://openalex.org/W2536668569,,,17.73
57,2016,Denoise based Algorithm for Active Noise Control Systems using Genetic Algorithm,P Narendra Babu; C. Rajasekaran,Asian Journal of Research in Social Sciences and Humanities,10.5958/2249-7315.2016.00554.2,0,https://openalex.org/W2464926900,,,17.0
58,2016,Design of dynamic linear-in-the-parameters nonlinear filters for active noise control,Vinal Patel; Nithin V. George,,10.1109/eusipco.2016.7760201,16,https://openalex.org/W2565805362,,,17.16
59,2016,Improved functional link artificial neural network via convex combination for nonlinear active noise control,Haiquan Zhao; Xiangping Zeng; Zhengyou He; Shujian Yu; Badong Chen,Applied Soft Computing,10.1016/j.asoc.2016.01.051,58,https://openalex.org/W2257860123,,,16.58
60,2017,A bilinear functional link artificial neural network filter for nonlinear active noise control and its stability condition,Dinh Cong Le; Jiashu Zhang; Yanjie Pang,Applied Acoustics,10.1016/j.apacoust.2017.10.023,48,https://openalex.org/W2769151994,,,16.48
61,2017,A New FXLMS Algorithm With Offline and Online Secondary-Path Modeling Scheme for Active Noise Control of Power Transformers,Tong Zhao; Jiabi Liang; Liang Zou; Li Zhang,IEEE Transactions on Industrial Electronics,10.1109/tie.2017.2682043,64,https://openalex.org/W2595807371,,,18.14
62,2017,Distributed Affine Projection Algorithm Over Acoustically Coupled Sensor Networks,Miguel Ferrer; Alberto González; María de Diego; Gema Piñero,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2742987,45,https://openalex.org/W2746354953,,,13.45
63,2017,NLFXLMS and THF‐NLFXLMS Algorithms for Wiener‐Hammerstein Nonlinear Active Noise Control,Radik Srazhidinov; Raja Kamil; Samsul Bahari Mohd Noor,Asian Journal of Control,10.1002/asjc.1503,8,https://openalex.org/W2613117696,,,17.08
64,2017,Statistical-mechanical analysis of the FXLMS algorithm for multiple-channel active noise control,Tomoki Murata; Yoshinobu Kajikawa; Seiji Miyoshi,,10.1109/apsipa.2017.8282015,5,https://openalex.org/W2786916643,,,14.05
65,2018,A generalized exponential functional link artificial neural networks filter with channel-reduced diagonal structure for nonlinear active noise control,Dinh Cong Le; Jiashu Zhang; Defang Li; Sheng Zhang,Applied Acoustics,10.1016/j.apacoust.2018.04.020,42,https://openalex.org/W2799450031,,,16.42
